legacy_row,legacy_accession,legacy_title,legacy_pubmed,match_methods,matched_accessions,matched_count,bridge_status,possibleClassifications,possibleSamplingFrames,discard,reason,notes
83,AJ699402,Genomic mutations in oral poliovirus vaccine strains:implications:for the eradication of poliovirus :,,accession,AJ699402,1,single_exact_match,iVDPV;vaccineOrigin,unknown,,,
84,AJ783774,Prevalence of vaccine-derived polioviruses in sewage and river:water in South Africa :,15996707,accession;pubmed,AJ635236;AJ635237;AJ783720;AJ783721;AJ783722;AJ783723;AJ783724;AJ783725;AJ783726;AJ783727;AJ783728;AJ783729;AJ783730;AJ783731;AJ783732;AJ783733;AJ783734;AJ783735;AJ783736;AJ783737;AJ783738;AJ783739;AJ783770;AJ783771;AJ783772;AJ783773;AJ783774;AJ783804;AJ783805;AJ783806;AJ783807;AJ783808;AJ783809;AJ783810;AJ783811;AJ783812;AJ783813;AJ783814;AJ783815;AJ783847;AJ783848;AJ783849;AJ783850;AJ783851;AJ783852;AJ783853;AJ783854;AJ783855;AJ783856;AJ783857;AJ783858;AJ783859,52,multiple_exact_matches,unknown,environmental,,,
85,AJ871589,Direct Submission:,,accession,AJ871589,1,single_exact_match,unknown,unknown,,,
86,AJ871590,Direct Submission:,,accession,AJ871590,1,single_exact_match,unknown,unknown,,,
87,AJ871591,Direct Submission:,,accession,AJ871591,1,single_exact_match,unknown,unknown,,,
88,AJ871592,Direct Submission:,,accession,AJ871592,1,single_exact_match,unknown,unknown,,,
89,AL590842 AJ414141-AJ414160,Genome sequence of Yersinia pestis_ the causative agent of plague:,11586360,pubmed,AL590842,1,single_exact_match,,,yes,not polio,
90,AM056050,Neurovirulent vaccine-derived polioviruses in sewage from highly:immune populations :,17183700,accession;pubmed,AJ288062;AM040035;AM040036;AM040037;AM040038;AM040039;AM056049;AM056050;AM158275;AM158276;AM292219;AM292220;AM292221,13,multiple_exact_matches,VDPV,environmental,,,
91,AM084225,Co-circulation and evolution of polioviruses and species C:enteroviruses in a district of Madagascar :,18085822,accession;pubmed,AM084223;AM084224;AM084225;AM774327;AM774328;AM774329;AM774330;AM774331;AM774332;AM774333;AM774334;AM774339;AM774340;AM774341;AM774342;AM774343;AM774344;AM774345;AM774346;AM774347;AM774348;AM774349;AM774350;AM774351;AM774352;AM774353;AM774354;AM774410;AM778616;AM778617;AM778618;AM778619;AM778620;AM778621;AM778622;AM778623;AM778624;AM778625;AM778626;AM778627;AM778628;AM778629;AM778630;AM778631;AM778632;AM778633;AM778634;AM778635;AM778636;AM778637;AM778638;AM778639;AM778640;AM778641;AM778642;AM778643;AM778644;AM778645;AM778646;AM778647;AM778648;AM778649;AM778650;AM778651;AM778652;AM778653;AM778654;AM778655;AM778656;AM778657;AM778658;AM778659;AM778660;AM778661;AM779111;AM779112;AM779113;AM779114;AM779115;AM779116;AM779117;AM779118;AM779119;AM779120;AM779121;AM779122;AM779123;AM779124;AM779125;AM779126;AM779127;AM779128;AM779129;AM779130;AM779131;AM779132;AM779133;AM779134;AM779135;AM779136;AM779137;AM779138;AM779139;AM779140;AM779141;AM779142;AM779143;AM779144;AM779145;AM779146;AM779147;AM779148;AM779149;AM779150;AM779151;AM779152;AM779153;AM779154;AM779155;AM779156;AM779157;AM779158;AM779159;AM779160;AM779271;AM779272;AM779273;AM779274;AM779275;AM779276;AM779277;AM779278;AM779279;AM779280;AM779281;AM779282;AM779283;AM779284;AM779285;AM779286;AM779287;AM779288;AM779289;AM779290;AM779291;AM779292;AM779293;AM779294;AM779295;AM779296;AM779297;AM779298;AM779299;AM779300;AM779301;AM779302;AM779303;AM779304;AM779305;AM779306;AM779307;AM779308;AM779309;AM779310;AM779311;AM779312;AM779313;AM779314;AM779315;AM779316;AM779426;AM779427;AM779428;AM779429;AM779430;AM779431;AM779432;AM779433;AM779434;AM779435;AM779436;AM779437;AM779438;AM779439;AM779440;AM779441;AM779442;AM779443;AM779444;AM779445;AM779446;AM779447;AM779448;AM779449;AM779450;AM779451;AM779452;AM779453;AM779454;AM779455;AM779456;AM779457;AM779458;AM779459;AM779460;AM779461;AM779462;AM779463;AM779464;AM779465;AM779466;AM779467;AM779468;AM779469;AM779470;AM779471;AM884184;AM884185,218,multiple_exact_matches,cVDPV;wild,AFP;healthy,,,
92,AM707037,Genetic features of polioviruses isolated in Tunisia_ 1991-2006:,,accession,AM707037,1,single_exact_match,wild,AFP,,,
93,AX348201,Method for controlling the microbiological quality of an aqueous:medium and kit therefor :,,accession,AX348201,1,single_exact_match,,,yes,patent;fragment,
94,AY015667,Rapid detection and specific identification of polioviruses by:multiplex pcr: surveillance of poliomyelitis in Spain :,,accession,AY015667,1,single_exact_match,unknown,unknown,,,
95,AY017264,Molecular evolution of a type 1 wild-vaccine poliovirus recombinant:during widespread circulation in China :,11070012,accession;pubmed,AF111950;AF111951;AF111952;AF111953;AF111954;AF111955;AF111956;AF111957;AF111958;AF111959;AF111960;AF111961;AF111962;AF111963;AF111964;AF111965;AF111966;AF111967;AF111968;AF111969;AF111970;AF111971;AF111972;AF111973;AF111974;AF111975;AF111976;AF111977;AF111978;AF111979;AF111980;AF111981;AF111982;AF111983;AF518076;AF518077;AF518078;AF518079;AF518080;AF518081;AF518082;AF518083;AF518084;AF518085;AF518086;AF518087;AF518088;AF518089;AF518090;AF518091;AF518092;AF518093;AF518094;AF518095;AF518096;AF518097;AY017229;AY017230;AY017231;AY017232;AY017233;AY017234;AY017235;AY017236;AY017237;AY017238;AY017239;AY017240;AY017241;AY017242;AY017243;AY017244;AY017245;AY017246;AY017247;AY017248;AY017249;AY017250;AY017251;AY017252;AY017253;AY017254;AY017255;AY017256;AY017257;AY017258;AY017259;AY017260;AY017261;AY017262;AY017263;AY017264,92,multiple_exact_matches,wild-vaccine,AFP,,,
96,AY056711,Investigation of the presence of recombinant polioviruses in the:hit population in Albania during the 1996 outbreak :,11773144,accession;pubmed,AY056620;AY056621;AY056622;AY056623;AY056624;AY056625;AY056626;AY056627;AY056628;AY056629;AY056630;AY056631;AY056632;AY056633;AY056634;AY056635;AY056636;AY056637;AY056638;AY056639;AY056640;AY056641;AY056642;AY056643;AY056644;AY056645;AY056646;AY056647;AY056648;AY056649;AY056650;AY056651;AY056652;AY056653;AY056654;AY056655;AY056656;AY056657;AY056658;AY056659;AY056660;AY056661;AY056662;AY056663;AY056664;AY056665;AY056666;AY056667;AY056668;AY056669;AY056670;AY056671;AY056672;AY056673;AY056674;AY056675;AY056676;AY056677;AY056678;AY056679;AY056680;AY056681;AY056682;AY056683;AY056684;AY056685;AY056686;AY056687;AY056688;AY056689;AY056690;AY056691;AY056692;AY056693;AY056697;AY056699;AY056700;AY056701;AY056702;AY056703;AY056707;AY056708;AY056709;AY056710;AY056711;AY056712;AY056713;AY056714;AY056715;AY056716;AY056717;AY056718;AY056719;AY056720;AY056721;AY056722;AY056723;AY056724;AY056725;AY056726;AY056727;AY056728;AY056729;AY056730;AY056731;AY056732;AY056733;AY056734;AY056735;AY056736;AY056737;AY056738;AY056739;AY056740;AY056741;AY056742;AY056743;AY056744;AY056745;AY056746;AY056747;AY056748;AY056749;AY056750;AY056751;AY056752;AY056753;AY056754;AY056755;AY056756;AY056757;AY056758;AY056759;AY056760;AY056761;AY056762;AY056763;AY056764;AY056765;AY056766;AY056767;AY056768;AY056769;AY056770;AY056771;AY056772;AY056773;AY056774;AY056775;AY056776;AY056777,151,multiple_exact_matches,wild,AFP,,,
97,AY082675,Russian reference poliovirus strains:,,accession,AY082675,1,single_exact_match,wild,unknown,,,
98,AY082677,Poliovirus type 2 reference sequences:,,accession,AY082677,1,single_exact_match,W-2;Lederle2:MEF1,W-2;Lederle2:MEF1,,,
99,AY082685,Poliovirus type 3 reference sequences:,,accession,AY082685,1,single_exact_match,FOX3;Lederle3;Leon37;Saukett,FOX3;Lederle3;Leon37;Saukett,,,
100,AY082686,Poliovirus type 1 reference sequences:,,accession,AY082686,1,single_exact_match,Lederle1;Mahoney;Brunhilde;CHAT,Lederle1;Mahoney;Brunhilde;CHAT,,,
101,AY177685,Nucleotide variation in Sabin type 2 poliovirus from an:immunodeficient patient with poliomyelitis :,12692287,accession;pubmed,AY177685,1,single_exact_match,iVDPV,AFP,,,
102,AY184219,Microevolution of Sabin 1 strain in vitro and genetic stability of:oral poliovirus vaccine :,8009849,accession;pubmed,AY184219,1,single_exact_match,Sabin1,Sabin 1,,,
103,AY184220,Mutations in Sabin 2 strain of poliovirus and stability of:attenuation phenotype :,10329577,accession;pubmed,AY184220,1,single_exact_match,Sabin2,Sabin 2,,,
104,AY184221,Microevolution of type 3 Sabin strain of poliovirus in cell :cultures and its implications for oral poliovirus vaccine quality:control :,7645242,accession;pubmed,AY184221,1,single_exact_match,Sabin3,Sabin 3,,,
105,AY189178,Reduced frequency of HLA DRB1*03-DQB1*02 in children with type 1:diabetes associated with enterovirus RNA :,12721936,accession;pubmed,AY189168;AY189172;AY189177;AY189178,4,multiple_exact_matches,,,yes,fragment,
106,AY189894,Environmental surveillance system to track wild poliovirus:transmission :,12732567,accession;pubmed,AY189834;AY189835;AY189836;AY189837;AY189838;AY189839;AY189840;AY189841;AY189842;AY189843;AY189844;AY189845;AY189846;AY189847;AY189848;AY189849;AY189850;AY189851;AY189852;AY189853;AY189854;AY189855;AY189856;AY189857;AY189858;AY189859;AY189860;AY189861;AY189862;AY189863;AY189864;AY189865;AY189866;AY189867;AY189868;AY189869;AY189870;AY189871;AY189872;AY189873;AY189874;AY189875;AY189876;AY189877;AY189878;AY189879;AY189880;AY189881;AY189882;AY189883;AY189884;AY189885;AY189886;AY189887;AY189888;AY189889;AY189890;AY189891;AY189892;AY189893;AY189894,61,multiple_exact_matches,wild,environmental;AFP;healthy,,,
107,AY211513,Evolution of wild type 1 poliovirus in two healthy siblings:excreting the virus over a period of six months :,,accession,AY211513,1,single_exact_match,wild,healthy,,,
108,AY221243,The Mechanism of Poliovirus Eradication:,,accession,AY221243,1,single_exact_match,wild,AFP,,,
109,AY238473,Evaluation of immunogenicity and protective properties of :inactivated poliovirus vaccines: a new surrogate method for:predicting vaccine efficacy :,15378432,accession;pubmed,AY238473,1,single_exact_match,MEF1,MEF1,,,
110,AY241265,Importation and circulation of poliovirus in Bulgaria_ 2001:,,accession,AY241265,1,single_exact_match,wild,AFP,,,
111,AY253227,Wild Poliovirus Transmission in India:,,accession,AY253227,1,single_exact_match,wild,AFP,,,
112,AY278553,Retrospective analysis of a local cessation of vaccination against:poliomyelitis: a possible scenario for the future :,14610170,accession;pubmed,AY278549;AY278550;AY278551;AY278552;AY278553,5,multiple_exact_matches,vaccineOrigin,AFP;healthy,,,
113,AY278864,Microarray analysis of evolution of RNA viruses: new evidence of:circulation of virulent highly divergent vaccine-derived :polioviruses :,,accession,AY278864,1,single_exact_match,vaccineOrigin,healthy,,,
114,AY297768,Recombinations in poliovirus vaccine strains:,,accession,AY297768,1,single_exact_match,vaccineOrigin,unknown,,,
115,AY297769,Site analysis of recombinant and mutant poliovirus isolates of:Sabin origin from patients and from vaccinees :,15051119,accession;pubmed,AY297758;AY297759;AY297760;AY297763;AY297764;AY297765;AY297766;AY297769,8,multiple_exact_matches,vaccineOrigin,unknown,,,paper and genbank do not provide sufficient info to link all samples to the case ID
116,AY308802,Polio Type 2 Reference Strain:,,accession,AY308802,1,single_exact_match,USA53,unknown,,,
117,AY323852,Evolution of wild-type 1 poliovirus in two healthy siblings:excreting the virus over a period of 6 months :,14769894,accession;pubmed,AY323842;AY323843;AY323844;AY323845;AY323846;AY323847;AY323848;AY323849;AY323850;AY323851;AY323852,11,multiple_exact_matches,wild,healthy,,,
118,AY359873,Human poliovirus 3 strain LH polyprotein gene:,,accession,AY359873,1,single_exact_match,,,yes,unknown provinence,
119,AY359874,Poliovirus 3 strain LH polyprotein_ partial VP3-VP1 region:,,accession,AY359874,1,single_exact_match,,,yes,unknown provinence,
120,AY359875,Human poliovirus 3 strain Fox polyprotein_ partial VP3-VP1 region:,,accession,AY359875,1,single_exact_match,,,yes,unknown provinence,
121,AY365245,Dynamic circulation of Polioviruses in India:,,accession,AY365245,1,single_exact_match,wild,AFP,,,
122,AY421739,Characterization of a highly evolved vaccine-derived poliovirus:type 3 isolated from sewage in Estonia :,15078968,accession;pubmed,AY421739,1,single_exact_match,VDPV,environmental,,,
123,AY531200,Environmental surveillance of wild poliovirus circulation in:Egypt--balancing between detection sensitivity and workload :,15847928,accession;pubmed,AY528653;AY528654;AY528655;AY528656;AY528657;AY528658;AY528659;AY528660;AY528661;AY528662;AY528663;AY531129;AY531130;AY531131;AY531132;AY531133;AY531134;AY531135;AY531136;AY531137;AY531138;AY531139;AY531140;AY531141;AY531142;AY531143;AY531144;AY531145;AY531146;AY531147;AY531148;AY531149;AY531150;AY531151;AY531152;AY531153;AY531154;AY531155;AY531156;AY531157;AY531158;AY531159;AY531160;AY531161;AY531162;AY531163;AY531164;AY531165;AY531166;AY531167;AY531168;AY531169;AY531170;AY531171;AY531172;AY531173;AY531174;AY531175;AY531176;AY531177;AY531178;AY531179;AY531180;AY531181;AY531182;AY531183;AY531184;AY531185;AY531186;AY531187;AY531188;AY531189;AY531190;AY531191;AY531192;AY531193;AY531194;AY531195;AY531196;AY531197;AY531198;AY531199;AY531200,83,multiple_exact_matches,unknown,environmental,,,wild vs vaccine not determinable from entry
124,AY560657,Direct Submission:,,accession,AY560657,1,single_exact_match,Brunhilde,Brunhilde,,,
125,AY563379,Membrane adsorption with direct cell culture combined with reverse:transcription-PCR as a fast method for identifying enteroviruses :from sewage :,15640172,accession;pubmed,AY563379,1,single_exact_match,,,yes,"/note=""nonfunctional VP1 protein due to mutation""",
126,AY618458,Molecular epidemiology of wild poliovirus type 1 circulation in :West and Central Africa_ from 1997 to 1999_ using genotyping with a:restriction fragment length polymorphism assay :,18060590,accession;pubmed,AY618419;AY618420;AY618421;AY618422;AY618423;AY618424;AY618425;AY618426;AY618427;AY618428;AY618429;AY618430;AY618431;AY618432;AY618433;AY618434;AY618435;AY618436;AY618437;AY618438;AY618439;AY618440;AY618441;AY618442;AY618443;AY618444;AY618445;AY618446;AY618447;AY618448;AY618449;AY618450;AY618451;AY618452;AY618453;AY618454;AY618455;AY618456;AY618457;AY618458,40,multiple_exact_matches,wild,AFP,,,
127,AY649330,Spread of vaccine-derived poliovirus from a paralytic case in an:immunodeficient child: an insight into the natural evolution of :oral polio vaccine :,15613335,accession;pubmed,AY649327;AY649328;AY649329;AY649330,4,multiple_exact_matches,iVDPV,AFP;environmental,,,
128,AY741367,Direct Submission:,,accession,AY741367,1,single_exact_match,wild,AFP,,,
129,AY741398,Genomic analysis of recombinant sabin clinical isolates:,16604453,accession;pubmed,AY736177;AY736178;AY736179;AY736180;AY736181;AY741398,6,multiple_exact_matches,vaccineOrigin,unknown,,,
130,AY820973,Recombinant Sabin environmental isolates in Greece and Cyprus:,18031522,accession;pubmed,AY820970;AY820971;AY820972;AY820973;DQ150696;DQ150697;DQ150698;DQ150699,8,multiple_exact_matches,vaccineOrigin,environmental,,,
131,AY820975,Vaccine derived bi- and multi-recombinant Sabin strains:,17680217,accession;pubmed,AY738635;AY738636;AY738637;AY820974;AY820975,5,multiple_exact_matches,vaccineOrigin,AFP,,,
132,AY830710,Evolution of a rare vaccine-derived multirecombinant poliovirus:,16227237,accession;pubmed,AY830709;AY830710,2,multiple_exact_matches,vaccineOrigin,AFP,,,
133,AY923837,Advanced environmental surveillance and molecular analyses indicate:separate importations rather than endemic circulation of wild type :1 poliovirus in Gaza district in 2002 :,17660306,accession;pubmed,AM056055;AM056056;AY923837,3,multiple_exact_matches,wild,environmental,,,
134,AY945798,Detection of unusual mutation within the VP1 region of different:re-isolates of poliovirus Sabin vaccine :,16972033,accession;pubmed,AY945784;AY945785;AY945786;AY945787;AY945788;AY945789;AY945790;AY945791;AY945792;AY945793;AY945794;AY945795;AY945796;AY945797;AY945798,15,multiple_exact_matches,vaccineOrigin,AFP,,,
135,AY948201,Characterization of a rare natural intertypic type 2/type 3 :penta-recombinant vaccine-derived poliovirus isolated from a child:with acute flaccid paralysis :,19846676,accession;pubmed,AY948201,1,single_exact_match,vaccineOrigin,AFP,,,
136,AY960850,Molecular Characterization of Wild-Type Polioviruses Isolated in:Greece during the 1996 Outbreak in Albania :,16517917,accession;pubmed,AY956405;AY956406;AY956407;AY956408;AY956409;AY956410;AY960848;AY960849;AY960850,9,multiple_exact_matches,wild,AFP,,,
137,AY962588,Characterization of wild type polioviruses isolated in Greece:during the 1996 outbreak in Albania :,,accession,AY962588,1,single_exact_match,wild,AFP,,,
138,CS406483,Modulation of replicative fitness by using less frequently used:synonymous codons :,,accession,CS406483,1,single_exact_match,engineered,engineered,,,
139,D00262,The effect of sequences in the 5' non-coding region on the:replication of polioviruses in the human gut :,2836553,accession;pubmed,D00254;D00255;D00256;D00257;D00258;D00259;D00260;D00261;D00262;D00263,10,multiple_exact_matches,vaccineOrigin,healthy,,,
140,D00625,Localization of genomic regions specific for the attenuated_:mouse-adapted poliovirus type 2 strain W-2 :,2154539,accession;pubmed,D00625,1,single_exact_match,,,yes,mouse-adapted,
141,DI499176,IDENTIFICATION OF POLIOVIRUS STRAINS:,,accession,DI499176,1,single_exact_match,,,yes,patent;fragment,
142,DQ167414,Detection of enteroviruses and mammalian reoviruses in Korean:environmental waters :,17053314,accession;pubmed,DQ167414,1,single_exact_match,unknown,environmental,,,
143,DQ205099,Modulation of Poliovirus Replicative Fitness in HeLa Cells by:Deoptimization of Synonymous Codon Usage in the Capsid Region:,16537593,accession;pubmed,DQ205099,1,single_exact_match,engineered,engineered,,,
144,DQ264317,Antigenic evolution of vaccine-derived polioviruses: changes in:individual epitopes and relative stability of the overall :immunological properties :,16501074,accession;pubmed,DQ264247;DQ264248;DQ264249;DQ264250;DQ264251;DQ264252;DQ264253;DQ264254;DQ264255;DQ264256;DQ264257;DQ264258;DQ264259;DQ264260;DQ264261;DQ264262;DQ264263;DQ264264;DQ264265;DQ264266;DQ264267;DQ264268;DQ264269;DQ264270;DQ264271;DQ264272;DQ264273;DQ264274;DQ264275;DQ264276;DQ264277;DQ264278;DQ264279;DQ264280;DQ264281;DQ264282;DQ264283;DQ264284;DQ264285;DQ264286;DQ264287;DQ264288;DQ264289;DQ264290;DQ264291;DQ264292;DQ264293;DQ264294;DQ264295;DQ264296;DQ264297;DQ264298;DQ264299;DQ264300;DQ264301;DQ264302;DQ264303;DQ264304;DQ264305;DQ264306;DQ264307;DQ264308;DQ264309;DQ264310;DQ264311;DQ264312;DQ264313;DQ264314;DQ264315;DQ264316;DQ264317;DQ264318;DQ264319;DQ264320;DQ264321;DQ264322;DQ264323;DQ264324;DQ264325;DQ264326;DQ264327;DQ264328;DQ264329;DQ264330;DQ264331;DQ264332;DQ264333;DQ264334;DQ264335;DQ264336;DQ264337;DQ264338;DQ264339;DQ264340;DQ264341;DQ264342;DQ264343;DQ264344;DQ264345;DQ264346;DQ264347;DQ264348;DQ264349;DQ264350;DQ264351;DQ264352;DQ264353;DQ264354;DQ264355;DQ264356;DQ264357;DQ264358;DQ264359;DQ264360;DQ264361;DQ264362;DQ264363;DQ264364;DQ264365;DQ264366;DQ264367;DQ264368;DQ264369;DQ264370;DQ264371;DQ264372;DQ264373;DQ264374;DQ264375;DQ264376;DQ264377;DQ264378;DQ264379;DQ264380;DQ264381;DQ264382;DQ264383;DQ264384;DQ264385;DQ264386;DQ264387;DQ264388;DQ264389;DQ522896,144,multiple_exact_matches,vaccineOrigin,healthy;environmental;AFP,,,
145,DQ411569,Genetic drift of poliovirus type 1 during 51 months of prolonged:intestinal replication in an immunodeficient patient :,,accession,DQ411569,1,single_exact_match,iVDPV,AFP,,,
146,DQ522896,Genomic analysis of vaccine-derived poliovirus strains in stool:specimens by combination of full-length PCR and oligonucleotide:microarray hybridization :,15956413,accession;pubmed,DQ522896,1,single_exact_match,vaccineOrigin,healthy,,,
147,DQ655667,Isolation of a vaccine derived poliovirus type 2 from a:immunodeficient child vacinated with OPV :,,accession,DQ655667,1,single_exact_match,iVDPV,AFP,,,
148,DQ787796,Use of mutational pattern in 5'-NCR and VP1 regions of polioviruses:for molecular diagnosis :,17336496,accession;pubmed,DQ787783;DQ787784;DQ787785;DQ787786;DQ787787;DQ787788;DQ787789;DQ787790;DQ787791;DQ787792;DQ787793;DQ787794;DQ787795;DQ787796;DQ792910;DQ792911;DQ792912;DQ792913;DQ792914;DQ792915;DQ792916;DQ792917;DQ792918;DQ792919;DQ792920;DQ792921;DQ792922;DQ792923,28,multiple_exact_matches,vaccineOrigin,AFP;healthy,,,
149,DQ890388,Isolation of recombinant type 2 vaccine-derived poliovirus (VDPV):from a Nigerian child :,17449127,accession;pubmed,DQ890385;DQ890386;DQ890387;DQ890388,4,multiple_exact_matches,vaccineOrigin,AFP,,,
150,EF374030,Calibration of multiple poliovirus molecular clocks covering an:extended evolutionary range :,18287242,accession;pubmed,EF374000;EF374001;EF374002;EF374003;EF374004;EF374005;EF374006;EF374007;EF374008;EF374009;EF374010;EF374011;EF374012;EF374013;EF374014;EF374015;EF374016;EF374017;EF374018;EF374019;EF374020;EF374021;EF374022;EF374023;EF374024;EF374025;EF374026;EF374027;EF374028;EF374029;EF374030,31,multiple_exact_matches,wild,AFP,,,
151,EF420871,Identification and characterization of type 2 and type 3 vaccine :derived polioviruses isolated during an outbreak of poliomyelitis:in Madagascar in 2005 :,,accession,EF420871,1,single_exact_match,vaccineOrigin,AFP,,,
152,EF456706,Retrospective characterization of a vaccine-derived poliovirus type:1 isolate from sewage in Greece :,17827314,accession;pubmed,EF456706,1,single_exact_match,vaccineOrigin,environmental,,,
153,EF456707,Complete genomic characterization of an intertypic Sabin 3/Sabin 2:capsid recombinant :,18328076,accession;pubmed,EF456707,1,single_exact_match,vaccineOrigin,healthy,,,
154,EF490681,Isolation of sabin-like polioviruses from wastewater in a country:using inactivated polio vaccine :,18641161,accession;pubmed,DQ841124;DQ841125;DQ841126;DQ841127;DQ841128;DQ841129;DQ841130;DQ841131;DQ841132;DQ841133;DQ841134;DQ841135;DQ841136;DQ841137;DQ841138;DQ841139;DQ841140;EF490669;EF490670;EF490671;EF490672;EF490673;EF490674;EF490675;EF490676;EF490677;EF490678;EF490679;EF490680;EF490681,30,multiple_exact_matches,SabinLike,environmental,,,
155,EF628464,Reemergence of recombinant vaccine-derived poliovirus outbreak in:Madagascar :,18419577,accession;pubmed,EF628385;EF628386;EF628387;EF628408;EF628409;EF628410;EF628411;EF628420;EF628429;EF628430;EF628431;EF628432;EF628442;EF628443;EF628444;EF628445;EF628446;EF628447;EF628448;EF628449;EF628450;EF628451;EF628452;EF628453;EF628454;EF628455;EF628456;EF628457;EF628458;EF628459;EF628460;EF628464;EF634009;EF634010;EF634011;EF634012;HQ738286;HQ738287;HQ738289;HQ738290;HQ738291;HQ738292;HQ738293;HQ738294;HQ738295;HQ738296;HQ738297;HQ738298;HQ738299;HQ738300;HQ738301;HQ738302;HQ738303,53,multiple_exact_matches,cVDPV,AFP;healthy,,,
156,EF682359,Transmission of Imported Vaccine-derived Poliovirus in an Amish:Community --- Minnesota_ USA_ 2005 :,,accession,EF682359,1,single_exact_match,cVDPV,healthy,,,Pubmed 19090774
157,EU004574,Molecular analysis and implications of neurovirulent circulating :vaccine-derived poliovirus in Jamaica. A case report and review of:literature :,19090774,accession,EU004574,1,single_exact_match,cVDPV,healthy,,,Pubmed 19090774
158,EU046227,Identification and characterization of poliovirus type 1 (India:genotype) during the outbreak of poliomyelitis in Africa :,,accession,EU046227,1,single_exact_match,wild,AFP,,,
159,EU049856,Interrupting wild poliovirus transmission using oral poliovirus:vaccine: environmental surveillance in high-risks area of India:,18551602,accession;pubmed,EU049849;EU049850;EU049851;EU049852;EU049853;EU049854;EU049855;EU049856,8,multiple_exact_matches,wild,AFP;environmental,,,
160,EU566950,Paralysis Associated and Contact Spreading of an Imported:Recombinant Vaccine Derived Poliovirus in Spain :,,accession,EU566950,1,single_exact_match,iVDPV,AFP,,,"despite title, all reported isolates are listed are from immunocompromised patient"
161,EU598487,A new RT-PCR assay for the identification of the predominant :recombination types in 2C and 3D genomic regions of vaccine-derived:poliovirus strains :,19948215,accession;pubmed,EU598486;EU598487;EU598488,3,multiple_exact_matches,vaccineOrigin,environmental,,,
162,EU598488,Growth kinetic analysis of bi-recombinant poliovirus vaccine:strains :,20091423,accession;pubmed,EU598469;EU598470;EU598472;EU598476;EU598477;EU598481;EU598482;EU598488;FJ609747;FJ609748;FJ609749;FJ609761;FJ609762;FJ609763;FJ609767;FJ609769;FJ609778;GU256636;GU256637,19,multiple_exact_matches,vaccineOrigin,AFP,,,
163,EU684057,Isolation of a type 3 vaccine-derived poliovirus (VDPV) from an:Iranian child with X-linked agammaglobulinemia :,18674576,accession;pubmed,EU684056;EU684057,2,multiple_exact_matches,iVDPV,AFP,,,
164,EU715814,Determination of the role of mutations and recombination in growth:rates of Poliovirus vaccine strains :,,accession,EU715814,1,single_exact_match,vaccineOrigin,unknown,,,
165,EU794964,Changes in population dynamics during long-term evolution of sabin:type 1 poliovirus in an immunodeficient patient :,18596089,accession;pubmed,EU794953;EU794954;EU794955;EU794956;EU794957;EU794958;EU794959;EU794960;EU794961;EU794962;EU794963;EU794964,12,multiple_exact_matches,iVDPV,healthy,,,
166,EU918390,Molecular characterization of poliovirus isolates from children who:contracted vaccine-associated paralytic poliomyelitis (VAPP) :following administration of monovalent type 3 oral poliovirus :vaccine in the 1960s in Hungary :,19863665,accession;pubmed,EU918372;EU918373;EU918374;EU918375;EU918376;EU918377;EU918378;EU918379;EU918380;EU918381;EU918382;EU918384;EU918385;EU918386;EU918387;EU918388;EU918389;EU918390,18,multiple_exact_matches,vaccineOrigin,AFP,,,
167,FB743423,Attenuated polio viruses:,,accession,FB743423,1,single_exact_match,,,yes,Sabin 3 fragment,
168,FJ437006,Environmental Poliovirus Surveillance in Switzerland 2006-2008:,,accession,FJ437006,1,single_exact_match,unknown,environmental,,,
169,FJ456966,Chronic excretion of vaccine-derived poliovirus type 1 in an:immunodeficient patient from Germany :,,accession,FJ456966,1,single_exact_match,iVDPV,unknown,,,
170,FJ460227,Comparison of poliovirus recombinants: accumulation of point:mutations provides further advantages :,19403755,accession;pubmed,FJ460223;FJ460224;FJ460225;FJ460226;FJ460227,5,multiple_exact_matches,vaccineOrigin,healthy,,,
171,FJ492827,Detection and Quantification of Enteroviruses in Coastal Seawater:of Bohai Bay_ Tianjin_ China :,,accession,FJ492827,1,single_exact_match,unknown,environmental,,,
172,FJ517649,Evolution of the Sabin vaccine into pathogenic derivatives without:appreciable changes in antigenic properties: need for improvement :of current poliovirus surveillance :,19129444,accession;pubmed,FJ517648;FJ517649,2,multiple_exact_matches,vaccineOrigin,AFP,,,
173,FJ598093,An outbreak of hand-foot-mouth disease due to EV71/CoxA16 in:Guangdong_ China_ in 2008 :,,accession,FJ598093,1,single_exact_match,unknown,AFP,,,
174,FJ609772,Study of antigenic evolution of vaccine poliovirus strains and :determination of their immunological properties in Greek population:,,accession,FJ609772,1,single_exact_match,vaccineOrigin,unknown,,,"likely from healthy subjects (based on the number of isolates available), but no metadata is available to confirm"
175,FJ769385,An Insight into Recombination with Enterovirus Species C and :Nucleotide G-480 Reversion from the Viewpoint of Neurovirulence of:Vaccine-Derived Polioviruses :,26603565,accession;pubmed,FJ769378;FJ769379;FJ769380;FJ769381;FJ769382;FJ769383;FJ769384;FJ769385,8,multiple_exact_matches,vaccineOrigin,AFP,,,
