legacy_row,accession,title,pubmed,possibleClassifications,classificationKeyValuePairs,possibleSamplingFrames,samplingFrameKeyValuePairs,discard,reason,notes,curation_source
227,JQ906536,Genetic relationships and epidemiological links between wild type 1:poliovirus isolates in Pakistan and Afghanistan :,22353446,wild,,AFP,,,,,legacy_excel_title_key_table
228,JX179294,Nearly constant shedding of diverse enteric viruses by two healthy:infants :,22875894,SabinLike,,healthy,,,,,legacy_excel_title_key_table
229,JX181927,Molecular identification and analysis of human enteroviruses :isolated from healthy children in shenzhen_ china from 2010 to 2011:,23762262,unknown,,healthy,,,,,legacy_excel_title_key_table
230,JX219557,Diversity of picornaviruses in rural Bolivia:,23804569,unknown,,AFP,,,,,legacy_excel_title_key_table
231,JX275382,Multiple Independent Emergences of Type 2 Vaccine-Derived:Polioviruses during a Large Outbreak in Northern Nigeria :,23408630,cVDPV,,AFP,,,,,legacy_excel_title_key_table
232,JX424836,Emergence of Vaccine-derived Polioviruses_ Democratic Republic of:Congo_ 2004-2011 :,24047933,cVDPV,,AFP,,,,,legacy_excel_title_key_table
233,JX513605,Non-polio enteroviruses and their association with acute diarrhea:in children in India :,23602838,,,,,yes,sabin references,,legacy_excel_title_key_table
234,JX538031,Naturally Acquired Picornavirus Infections in Primates at the Dhaka:Zoo :,23097447,,,,,yes,non-human primate infection (Sabin 3 in an olive baboon!),,legacy_excel_title_key_table
235,JX913690,Characteristics of an Environmentally Monitored Prolonged Type 2:Vaccine Derived Poliovirus Shedding Episode that Stopped without:Intervention :,23935826,VDPV,,environmental,,,,,legacy_excel_title_key_table
236,K01392,Comparison of the complete nucleotide sequences of the genomes of:the neurovirulent poliovirus P3/Leon/37 and its attenuated Sabin :vaccine derivative P3/Leon 12a1b :,6324200,Leon37,,AFP-CNS,,,,,legacy_excel_title_key_table
237,KC136312,Two Cases of Fatal Respiratory Failure Causing By Poliovirus:Vaccine Strain :,,vaccineOrigin,,AFP,,,,,legacy_excel_title_key_table
238,KC784373,Highly Divergent Types 2 and 3 Vaccine-Derived Polioviruses:Isolated from Sewage in Tallinn_ Estonia :,24049178,VDPV,,environmental;AFP,AFP:TKM90;environmental:,,,,legacy_excel_title_key_table
239,KC800683,VP1 sequence analysis of poliovirus type 1 isolated in India:,,unknown,,AFP,,,,,legacy_excel_title_key_table
240,KC812257,Sequence analysis of 3D region of wild poliovirus type 1 isolated:in India :,,unknown,,AFP,,,,,legacy_excel_title_key_table
241,KC832671,Evolution of type 2 vaccine derived poliovirus lineages. Evidence:for codon-specific positive selection at three distinct locations:on capsid wall :,23840537,wild,,AFP,,,,Strange is that these are Egypt sequences that aren't mentioned in the linked paper. I wonder if this genbank entry is wrong.,legacy_excel_title_key_table
242,KC848180,Altered Antibody Profiles against Common Infectious Agents in:Chronic Disease :,24312567,,,,,yes,lab neutralization assay strain,,legacy_excel_title_key_table
243,KC880521,The 2010 Outbreak of Poliomyelitis in Tajikistan: the Nature and:Some Lessons :,,wild,,AFP,,,,,legacy_excel_title_key_table
244,KF177120,Non-polio enterovirus association with persistent diarrhea in:children as revealed by a follow-up study of an Indian cohort:during the first two years of life :,24954472,unknown,,healthy,,,,,legacy_excel_title_key_table
245,KF193870,Characterization of Polio virus from live vaccine and polio:patients from Pakistan :,,unknown,,AFP,,,,,legacy_excel_title_key_table
246,KF322158,Evolution and Circulation of Type-2 Vaccine-Derived Polioviruses in:Nad Ali District of Southern Afghanistan during June 2009-February :2011 :,24558390,cVDPV,,AFP,,,,,legacy_excel_title_key_table
247,KF537633,Complete genome sequence of the last representative genotype of:wild indigenous poliovirus type 1_ which circulated in Brazil :,24179117,wild,,AFP,,,,,legacy_excel_title_key_table
248,KF584242,Outbreak of Type 1 Wild Poliovirus in Adults_ Namibia_ 2006:,,wild,,AFP,,,,,legacy_excel_title_key_table
249,KF666633,Isolation and Characterization of a Type 2 Vaccine-Derived:Poliovirus from Environmental Surveillance in China_ 2012 :,24386319,VDPV,,environmental,,,,,legacy_excel_title_key_table
250,KF698779,Impact of cell lines included in enterovirus isolation protocol on:perception of nonpolio enterovirus species C diversity :,25064357,unknown,,environmental,,,,,legacy_excel_title_key_table
251,KF701306,Detection of vaccine-derived polioviruses in Mexico using:environmental surveillance :,25316850,vaccineOrigin,,environmental,,,,,legacy_excel_title_key_table
252,KF990615,Direct Submission:,,wild,,AFP,,,,,legacy_excel_title_key_table
253,KF990616,Direct Submission:,,wild,,AFP,,,,,legacy_excel_title_key_table
254,KF990617,Direct Submission:,,wild,,AFP,,,,,legacy_excel_title_key_table
255,KF990618,Direct Submission:,,wild,,AFP,,,,,legacy_excel_title_key_table
256,KF990619,Direct Submission:,,wild,,AFP,,,,,legacy_excel_title_key_table
257,KF990620,Direct Submission:,,wild,,AFP,,,,,legacy_excel_title_key_table
258,KF992623,Phylogeny of imported and reestablished wild polioviruses in:theDemocratic Republic of the Congo from 2006 to 2011 :,25316856,wild,,AFP,,,,,legacy_excel_title_key_table
259,KJ013498,Molecular Epidemiology of Silent Introduction and Sustained:Transmission of Wild Poliovirus Type 1_ Israel_ 2013 :,,wild,,environmental;healthy,healthy:stool;environmental:,,,,legacy_excel_title_key_table
260,KJ170677,Sabin Vaccine Reversion in the Field: a Comprehensive Analysis of:Sabin-Like Poliovirus Isolates in Nigeria :,26468545,SabinLike,,AFP,,,,,legacy_excel_title_key_table
261,KJ419277,Limited and localized outbreak of newly emergent type 2:vaccine-derived poliovirus in sichuan_ china :,24850620,cVDPV,,AFP;healthy,healthy:CHN16019c;AFP:,,,,legacy_excel_title_key_table
262,KJ460332,Molecular Characterization and Phylogenetic Relationship of Wild:Type 1 Poliovirus Strains Circulating across Pakistan and :Afghanistan Bordering Areas during 2010-2012 :,25229826,wild,,AFP,,,,,legacy_excel_title_key_table
263,KJ852648,Sporadic Isolation of Sabin-Like Polioviruses and High-Level :Detection of Non-Polio Enteroviruses during Sewage Surveillance in :Seven Italian Cities_ after Several Years of Inactivated Poliovirus:Vaccination :,24814793,vaccineOrigin,,environmental,,,,,legacy_excel_title_key_table
264,KM233675,Enterovirus species circulating in Nigeria and their contribution:to the emergence of recombinant circulating vaccine derived :polioviruses :,,unknown,,environmental,,,,,legacy_excel_title_key_table
265,KM235193,Enterovirus Species Cs Circulating in Nigeria and Their :Contribution To The Emergence of Recombinant Circulating Vaccine:Derived Polioviruses :,,unknown,,environmental,,,,,legacy_excel_title_key_table
266,KM433732,Complete genome sequence analysis of a poliovirus type 2 strain:isolated in Yunnan_ China_ in 2013 :,,vaccineOrigin,,AFP-CSF,,,,,legacy_excel_title_key_table
267,KP004244,Genetic analysis and characterization of wild poliovirus type 1:during sustained transmission in a population with >95% vaccine:coverage_ Israel 2013 :,25550350,wild,,environmental,,,,,legacy_excel_title_key_table
268,KP143072,Circulating vaccine-derived polioviruses in the Extreme North:region of Cameroon :,25542478,cVDPV,,AFP,,,,,legacy_excel_title_key_table
269,KP196613,The Genetic Character Analysis of Type 2 Vaccine-derived Poliovirus:in Shanxi Province in 2014 :,,VDPV,,AFP,,,,,legacy_excel_title_key_table
270,KR259355,Vaccine derived polioviruses that escaped detection by the :real-time RT-PCR VDPV screening assay used in polio surveillance:,,unknown,,environmental,,,,,legacy_excel_title_key_table
271,KR259358,Vaccine-Derived Polioviruses Not Detected by Global Surveillance:Screening Assay :,26402584,VDPV,,AFP,,,,,legacy_excel_title_key_table
272,KR709242,Two Cases of Vaccine-Derived Poliovirus Infection in an Oncology:Ward :,27028932,iVDPV,,healthy,,,,,legacy_excel_title_key_table
273,KR817066,Twenty-eight years of poliovirus replication in an immunodeficient:individual: impact on the global polio eradication initiative :,,iVDPV;wild,wild:wild;iVDPV:,healthy;AFP,AFP:wild;healthy:,,,,legacy_excel_title_key_table
274,KT022351,Enterovirus Species B Bias of RD Cell Line and Its Influence on:Enterovirus Diversity Landscape :,26403309,unknown,,environmental,,,,,legacy_excel_title_key_table
275,KT353719,Direct Submission:,,unknown,,unknown,,,,,legacy_excel_title_key_table
276,KU161399,Environmental surveillance of viruses by tangential flow filtration:and metagenomic reconstruction :,27105043,wild,,environmental,,,,,legacy_excel_title_key_table
277,KU198435,Molecular and Phenotypic Characterization of a Highly Evolved Type:2 Vaccine-Derived Poliovirus Isolated from Sewage in Brazil_ 2014 :,,VDPV,,environmental,,,,,legacy_excel_title_key_table
278,KU372652,Molecular and Phenotypic Characterization of a Highly Evolved Type :2 Vaccine-Derived Poliovirus Isolated from Seawater in Brazil_ 2014:,27019095,VDPV,,environmental,,,,,legacy_excel_title_key_table
279,KU598891,A cluster of paralytic poliomyelitis cases due to transmission of:slightly diverged Sabin-2 vaccine virus :,27099315,VDPV,,AFP;healthy,AFP:AFP;healthy:,,,,legacy_excel_title_key_table
280,KU708514,Nucleotide variation in Sabin type 3 poliovirus from an Albanian :infant with agammaglobulinemia and vaccine associated poliomyelitis:,27287521,vaccineOrigin,,AFP,,,,,legacy_excel_title_key_table
281,KU738889,Detection of poliovirus infection in children with acute:gastroenteritis in Thailand :,,,,,,yes,fragment,,legacy_excel_title_key_table
282,KU763188,Rare natural type 3/type 2 intertypic capsid recombinant :vaccine-related Poliovirus isolated from a case of acute flaccid:paralysis in Brazil_ 2015 :,,vaccineOrigin,,AFP,,,,,legacy_excel_title_key_table
283,KU866422,Direct Submission:,,Mahoney,,Mahoney,,,,,legacy_excel_title_key_table
284,KU878958,Neutralization capacity of highly divergent type 2 vaccine-derived:polioviruses from immunodficient patients :,,iVDPV,,AFP,,,,,legacy_excel_title_key_table
285,KU925284,Importation and outbreak of wild polioviruses from 2000 to 2014 and:interruption of transmission in Cameroon :,27045455,wild,"wild:""wild polioviruses""",AFP,,,,,legacy_excel_title_key_table
286,KX011400,Detection of Enterovirus Infection among Patients With Aseptic:Meningitis in South of Iran :,,unknown,,AFP-CSF,,,,,legacy_excel_title_key_table
287,KX162717,High-Throughput Next Generation Sequencing of Polioviruses:,27927929,SabinLike;cVDPV;wild,SabinLike:SABIN;cVDPV:VDPV;wild:,AFP,,,,,legacy_excel_title_key_table
288,KX197454,Molecular epidemiology of human enterovirus 71 at the origin of an:epidemic of fatal hand_ foot and mouth disease cases in Cambodia :,27651091,vaccineOrigin,,healthy,,,,,legacy_excel_title_key_table
289,KX432024,Detection of poliovirus infection in children with acute:gastroenteritis in Chiang Mai_ Thailand :,27664943,vaccineOrigin,,healthy,,,,,legacy_excel_title_key_table
290,KX828560,Wild and vaccine-derived Poliovirus detection through environmental:surveillance: Sao Paulo_ Brazil_ 2014 :,,unknown,,environmental,,,,,legacy_excel_title_key_table
291,KY026068,Human poliovirus 1 strain Mahoney-like:,,,,,,yes,fragment,,legacy_excel_title_key_table
292,KY774682,Human enteroviruses associated with and without diarrhea in:Thailand between 2010 and 2016 :,28750058,vaccineOrigin,,healthy,,,,,legacy_excel_title_key_table
293,KY884693,Polio and measles down the drain: Environmental Enterovirus:Surveillance in the Netherlands_ 2005-2015 :,28432101,unknown,,environmental,,,,,legacy_excel_title_key_table
294,L23848,Poliovirus type 3/Saukett: antigenic and structural correlates of:sequence variation in the capsid proteins :,8116248,Saukett,,Saukett,,,,,legacy_excel_title_key_table
295,L76412,Genetic diversity and rapid evolution of poliovirus in human hosts:,1318186,wild,,AFP,,,,,legacy_excel_title_key_table
296,L76413,Genetic variation in vivo and proposed functional domains of the 5':noncoding region of poliovirus RNA :,1323698,wild,,AFP,,,,,legacy_excel_title_key_table
297,LC120952,Detection of enteroviruses from healthy children_ Yunnan province_:China_ 2014-2015 :,,unknown,,healthy,,,,,legacy_excel_title_key_table
298,LC143376,Surveillance of human enteric viruses isolated from raw sewage and:clinical cases in Toyama Prefecture_ Japan_ from 2006 to 2013 :,,vaccineOrigin,,healthy;environmental,environmental:Sewage;healthy:,,,,legacy_excel_title_key_table
299,LC201513,Detection of enteroviruses from healthy children_ Yunnan Provine_:2016 (Part 2) :,,unknown,,healthy,,,,,legacy_excel_title_key_table
300,M12197,Mapping of sequences required for mouse neurovirulence of:poliovirus type 2 Lansing :,3003384,Lansing,,Lansing,,,,,legacy_excel_title_key_table
301,M14761,The mechanism of RNA recombination in poliovirus:,3021340,,,,,yes,Lansing fragment,,legacy_excel_title_key_table
302,M17494,Poliovirus replication proteins: RNA sequence encoding P3-1b and:the sites of proteolytic processing :,6267593,,,,,yes,Mahoney clone,,legacy_excel_title_key_table
303,M19629,Geographic distribution of wild poliovirus type 1 genotypes:,2821678,wild,,AFP,,,,,legacy_excel_title_key_table
304,M29183,Mapping and sequencing of RNAs without recourse to molecular :cloning: application to RNAs of the Sabin 1 strain of poliovirus:and its defective interfering particles :,3007445,,,,,yes,lab fragment,,legacy_excel_title_key_table
305,M37321 M36161 M36162,Nucleotide sequence from neurovirulent and attenuated strains of:type 3 poliovirus :,6330844,,,,,yes,Sabin 3 clone,,legacy_excel_title_key_table
306,NC_002058 NC_001428 NC_014336,Polypyrimidine tract-binding protein stimulates the poliovirus IRES:by modulating eIF4G binding :,20859255,,,,,yes,Mahoney 5' NCR,,legacy_excel_title_key_table
307,S65450,Functional and genetic plasticities of the poliovirus genome: :quasi-infectious RNAs modified in the 5'-untranslated region yield:a variety of pseudorevertants :,8396686,,,,,yes,engineered fragments,,legacy_excel_title_key_table
308,V01132 J02284,Location and primary structure of a major antigenic site for:poliovirus neutralization :,6186919,,,,,yes,Leon segment,,legacy_excel_title_key_table
309,V01148,Sequence of 1060 3'-terminal nucleotides of poliovirus RNA as:determined by a modification of the dideoxynucleotide method :,6158042,,,,,yes,redundant with more modern entries,,legacy_excel_title_key_table
310,V01150 J02282 J02285 J02286 V01133,Carboxy-terminal analysis of poliovirus proteins: termination of:poliovirus RNA translation and location of unique poliovirus :polyprotein cleavage sites :,6283138,,,,,yes,redundant with more modern entries,,legacy_excel_title_key_table
311,V01540,Nucleic acid sequence of the region of the genome encoding capsid:protein VP1 of neurovirulent and attenuated type 3 polioviruses :,6311539,,,,,yes,redundant with more modern entries,,legacy_excel_title_key_table
312,X00596,Complete nucleotide sequences of all three poliovirus serotype :genomes. Implication for genetic relationship_ gene function and:antigenic determinants :,6202874,,,,,yes,redundant with more modern entries,,legacy_excel_title_key_table
313,X00925 K00043,The nucleotide sequence of poliovirus type 3 leon 12 a1b::comparison with poliovirus type 1 :,6310508,,,,,yes,redundant with more modern entries,,legacy_excel_title_key_table
314,X04468,The nucleotide sequence of a type 3 poliovirus isolated during a:recent outbreak of poliomyelitis in Finland :,3020156,wild,,AFP,,,,,legacy_excel_title_key_table
315,X70507,[Probable compact structure of a cis-active translation element in:the 5'-untranslated region of the enterovirus and rhinovirus :genome] :,1328850,,,,,yes,fragments,,legacy_excel_title_key_table
