legacy_row,accession,title,pubmed,possibleClassifications,classificationKeyValuePairs,possibleSamplingFrames,samplingFrameKeyValuePairs,discard,reason,notes,curation_source
105,AY189178,Reduced frequency of HLA DRB1*03-DQB1*02 in children with type 1:diabetes associated with enterovirus RNA :,12721936,,,,,yes,fragment,,legacy_excel_title_key_table
106,AY189894,Environmental surveillance system to track wild poliovirus:transmission :,12732567,wild,,environmental;AFP;healthy,healthy:healthy;environmental:F-;environmental:G-;environmental:M-;AFP:,,,,legacy_excel_title_key_table
107,AY211513,Evolution of wild type 1 poliovirus in two healthy siblings:excreting the virus over a period of six months :,,wild,,healthy,,,,,legacy_excel_title_key_table
108,AY221243,The Mechanism of Poliovirus Eradication:,,wild,,AFP,,,,,legacy_excel_title_key_table
109,AY238473,Evaluation of immunogenicity and protective properties of :inactivated poliovirus vaccines: a new surrogate method for:predicting vaccine efficacy :,15378432,MEF1,,MEF1,,,,,legacy_excel_title_key_table
110,AY241265,Importation and circulation of poliovirus in Bulgaria_ 2001:,,wild,,AFP,,,,,legacy_excel_title_key_table
111,AY253227,Wild Poliovirus Transmission in India:,,wild,,AFP,,,,,legacy_excel_title_key_table
112,AY278553,Retrospective analysis of a local cessation of vaccination against:poliomyelitis: a possible scenario for the future :,14610170,vaccineOrigin,,AFP;healthy,healthy:healthy;AFP:,,,,legacy_excel_title_key_table
113,AY278864,Microarray analysis of evolution of RNA viruses: new evidence of:circulation of virulent highly divergent vaccine-derived :polioviruses :,,vaccineOrigin,,healthy,,,,,legacy_excel_title_key_table
114,AY297768,Recombinations in poliovirus vaccine strains:,,vaccineOrigin,,unknown,,,,,legacy_excel_title_key_table
115,AY297769,Site analysis of recombinant and mutant poliovirus isolates of:Sabin origin from patients and from vaccinees :,15051119,vaccineOrigin,,unknown,,,,paper and genbank do not provide sufficient info to link all samples to the case ID,legacy_excel_title_key_table
116,AY308802,Polio Type 2 Reference Strain:,,USA53,,unknown,,,,,legacy_excel_title_key_table
117,AY323852,Evolution of wild-type 1 poliovirus in two healthy siblings:excreting the virus over a period of 6 months :,14769894,wild,,healthy,,,,,legacy_excel_title_key_table
118,AY359873,Human poliovirus 3 strain LH polyprotein gene:,,,,,,yes,unknown provinence,,legacy_excel_title_key_table
119,AY359874,Poliovirus 3 strain LH polyprotein_ partial VP3-VP1 region:,,,,,,yes,unknown provinence,,legacy_excel_title_key_table
120,AY359875,Human poliovirus 3 strain Fox polyprotein_ partial VP3-VP1 region:,,,,,,yes,unknown provinence,,legacy_excel_title_key_table
121,AY365245,Dynamic circulation of Polioviruses in India:,,wild,,AFP,,,,,legacy_excel_title_key_table
122,AY421739,Characterization of a highly evolved vaccine-derived poliovirus:type 3 isolated from sewage in Estonia :,15078968,VDPV,,environmental,,,,,legacy_excel_title_key_table
123,AY531200,Environmental surveillance of wild poliovirus circulation in:Egypt--balancing between detection sensitivity and workload :,15847928,unknown,,environmental,,,,wild vs vaccine not determinable from entry,legacy_excel_title_key_table
124,AY560657,Direct Submission:,,Brunhilde,,Brunhilde,,,,,legacy_excel_title_key_table
125,AY563379,Membrane adsorption with direct cell culture combined with reverse:transcription-PCR as a fast method for identifying enteroviruses :from sewage :,15640172,,,,,yes,"/note=""nonfunctional VP1 protein due to mutation""",,legacy_excel_title_key_table
126,AY618458,Molecular epidemiology of wild poliovirus type 1 circulation in :West and Central Africa_ from 1997 to 1999_ using genotyping with a:restriction fragment length polymorphism assay :,18060590,wild,,AFP,,,,,legacy_excel_title_key_table
127,AY649330,Spread of vaccine-derived poliovirus from a paralytic case in an:immunodeficient child: an insight into the natural evolution of :oral polio vaccine :,15613335,iVDPV,,AFP;environmental,environmental:sewage;AFP:,,,,legacy_excel_title_key_table
128,AY741367,Direct Submission:,,wild,,AFP,,,,,legacy_excel_title_key_table
129,AY741398,Genomic analysis of recombinant sabin clinical isolates:,16604453,vaccineOrigin,,unknown,,,,,legacy_excel_title_key_table
130,AY820973,Recombinant Sabin environmental isolates in Greece and Cyprus:,18031522,vaccineOrigin,,environmental,,,,,legacy_excel_title_key_table
131,AY820975,Vaccine derived bi- and multi-recombinant Sabin strains:,17680217,vaccineOrigin,,AFP,,,,,legacy_excel_title_key_table
132,AY830710,Evolution of a rare vaccine-derived multirecombinant poliovirus:,16227237,vaccineOrigin,,AFP,,,,,legacy_excel_title_key_table
133,AY923837,Advanced environmental surveillance and molecular analyses indicate:separate importations rather than endemic circulation of wild type :1 poliovirus in Gaza district in 2002 :,17660306,wild,,environmental,,,,,legacy_excel_title_key_table
134,AY945798,Detection of unusual mutation within the VP1 region of different:re-isolates of poliovirus Sabin vaccine :,16972033,vaccineOrigin,,AFP,,,,,legacy_excel_title_key_table
135,AY948201,Characterization of a rare natural intertypic type 2/type 3 :penta-recombinant vaccine-derived poliovirus isolated from a child:with acute flaccid paralysis :,19846676,vaccineOrigin,,AFP,,,,,legacy_excel_title_key_table
136,AY960850,Molecular Characterization of Wild-Type Polioviruses Isolated in:Greece during the 1996 Outbreak in Albania :,16517917,wild,,AFP,,,,,legacy_excel_title_key_table
137,AY962588,Characterization of wild type polioviruses isolated in Greece:during the 1996 outbreak in Albania :,,wild,,AFP,,,,,legacy_excel_title_key_table
138,CS406483,Modulation of replicative fitness by using less frequently used:synonymous codons :,,engineered,,engineered,,,,,legacy_excel_title_key_table
139,D00262,The effect of sequences in the 5' non-coding region on the:replication of polioviruses in the human gut :,2836553,vaccineOrigin,,healthy,,,,,legacy_excel_title_key_table
140,D00625,Localization of genomic regions specific for the attenuated_:mouse-adapted poliovirus type 2 strain W-2 :,2154539,,,,,yes,mouse-adapted,,legacy_excel_title_key_table
141,DI499176,IDENTIFICATION OF POLIOVIRUS STRAINS:,,,,,,yes,patent;fragment,,legacy_excel_title_key_table
142,DQ167414,Detection of enteroviruses and mammalian reoviruses in Korean:environmental waters :,17053314,unknown,,environmental,,,,,legacy_excel_title_key_table
143,DQ205099,Modulation of Poliovirus Replicative Fitness in HeLa Cells by:Deoptimization of Synonymous Codon Usage in the Capsid Region:,16537593,engineered,,engineered,,,,,legacy_excel_title_key_table
144,DQ264317,Antigenic evolution of vaccine-derived polioviruses: changes in:individual epitopes and relative stability of the overall :immunological properties :,16501074,vaccineOrigin,,healthy;environmental;AFP,healthy:healthy;AFP:AFP;environmental:sewage;AFP:VAPP;healthy:,,,,legacy_excel_title_key_table
145,DQ411569,Genetic drift of poliovirus type 1 during 51 months of prolonged:intestinal replication in an immunodeficient patient :,,iVDPV,,AFP,,,,,legacy_excel_title_key_table
146,DQ522896,Genomic analysis of vaccine-derived poliovirus strains in stool:specimens by combination of full-length PCR and oligonucleotide:microarray hybridization :,15956413,vaccineOrigin,,healthy,,,,,legacy_excel_title_key_table
147,DQ655667,Isolation of a vaccine derived poliovirus type 2 from a:immunodeficient child vacinated with OPV :,,iVDPV,,AFP,,,,,legacy_excel_title_key_table
148,DQ787796,Use of mutational pattern in 5'-NCR and VP1 regions of polioviruses:for molecular diagnosis :,17336496,vaccineOrigin,,AFP;healthy,AFP:V8;AFP:V10;AFP:V12;healthy:,,,,legacy_excel_title_key_table
149,DQ890388,Isolation of recombinant type 2 vaccine-derived poliovirus (VDPV):from a Nigerian child :,17449127,vaccineOrigin,,AFP,,,,,legacy_excel_title_key_table
150,EF374030,Calibration of multiple poliovirus molecular clocks covering an:extended evolutionary range :,18287242,wild,,AFP,,,,,legacy_excel_title_key_table
151,EF420871,Identification and characterization of type 2 and type 3 vaccine :derived polioviruses isolated during an outbreak of poliomyelitis:in Madagascar in 2005 :,,vaccineOrigin,,AFP,,,,,legacy_excel_title_key_table
152,EF456706,Retrospective characterization of a vaccine-derived poliovirus type:1 isolate from sewage in Greece :,17827314,vaccineOrigin,,environmental,,,,,legacy_excel_title_key_table
153,EF456707,Complete genomic characterization of an intertypic Sabin 3/Sabin 2:capsid recombinant :,18328076,vaccineOrigin,,healthy,,,,,legacy_excel_title_key_table
154,EF490681,Isolation of sabin-like polioviruses from wastewater in a country:using inactivated polio vaccine :,18641161,SabinLike,,environmental,,,,,legacy_excel_title_key_table
155,EF628464,Reemergence of recombinant vaccine-derived poliovirus outbreak in:Madagascar :,18419577,cVDPV,,AFP;healthy,AFP:acute;healthy:,,,,legacy_excel_title_key_table
156,EF682359,Transmission of Imported Vaccine-derived Poliovirus in an Amish:Community --- Minnesota_ USA_ 2005 :,,cVDPV,,healthy,,,,Pubmed 19090774,legacy_excel_title_key_table
157,EU004574,Molecular analysis and implications of neurovirulent circulating :vaccine-derived poliovirus in Jamaica. A case report and review of:literature :,19090774,cVDPV,,healthy,,,,Pubmed 19090774,legacy_excel_title_key_table
158,EU046227,Identification and characterization of poliovirus type 1 (India:genotype) during the outbreak of poliomyelitis in Africa :,,wild,,AFP,,,,,legacy_excel_title_key_table
